Site,Region,Year,yr,month,n_samples,As,Be,Cd,Cr,Mn,Ni,Pb,log_As,log_Be,log_Cd,log_Cr,log_Mn,log_Ni,log_Pb,Region_row_state
Bakersfld,Valley,85,85,1,6,3.333333333,0.25,0.5,,,,,0.522878745,-0.602059991,-0.301029996,,,,,5120
Bakersfld,Valley,85.08333333,85,2,4,2,0.25,0.5,,,,,0.301029996,-0.602059991,-0.301029996,,,,,5120
Bakersfld,Valley,85.16666667,85,3,5,2,0.25,0.5,,,,,0.301029996,-0.602059991,-0.301029996,,,,,5120
Bakersfld,Valley,85.25,85,4,5,4,0.25,0.9,,,,,0.602059991,-0.602059991,-0.045757491,,,,,5120
Bakersfld,Valley,85.33333333,85,5,4,1.5,0.25,1,,,,,0.176091259,-0.602059991,0,,,,,5120
Bakersfld,Valley,85.41666667,85,6,3,1,0.25,0.5,,,,,0,-0.602059991,-0.301029996,,,,,5120
Bakersfld,Valley,85.5,85,7,5,,,,5.2,42.8,14.6,93.2,,,,0.716003344,1.631443769,1.164352856,1.969415912,5120
Bakersfld,Valley,85.58333333,85,8,5,1.775,0.0375,0.575,6.2,51,14.6,100.4,0.249198357,-1.425968732,-0.240332155,0.792391689,1.707570176,1.164352856,2.001733713,5120
Bakersfld,Valley,85.66666667,85,9,5,2.533333333,0.03,2.766666667,6,50,15.6,130,0.403692338,-1.522878745,0.441956838,0.77815125,1.698970004,1.193124598,2.113943352,5120
Bakersfld,Valley,85.75,85,10,5,4.85,0.075,0.5,6.8,60.8,22,228.4,0.685741739,-1.124938737,-0.301029996,0.832508913,1.783903579,1.342422681,2.3586961,5120
Bakersfld,Valley,85.83333333,85,11,6,3.95,0.035,0.2,4.6,36.6,40.4,259.6,0.596597096,-1.455931956,-0.698970004,0.662757832,1.563481085,1.606381365,2.414304688,5120
Bakersfld,Valley,85.91666667,85,12,5,6.1,0.012,0.78,2.75,16,40.25,186.25,0.785329835,-1.920818754,-0.107905397,0.439332694,1.204119983,1.604765885,2.270096281,5120
Bakersfld,Valley,86,86,1,4,2.875,0.01,0.4,2.375,28.5,50.25,285.5,0.458637849,-2,-0.397940009,0.375663614,1.45484486,1.701136066,2.455606113,5120
Bakersfld,Valley,86.08333333,86,2,5,1.925,0.02,0.8,2.4,23.2,32,107.4,0.284430734,-1.698970004,-0.096910013,0.380211242,1.365487985,1.505149978,2.031004281,5120
Bakersfld,Valley,86.16666667,86,3,5,2,0.0275,0.625,3.4,27.8,19,103.8,0.301029996,-1.560667306,-0.204119983,0.531478917,1.444044796,1.278753601,2.016197354,5120
Bakersfld,Valley,86.25,86,4,6,1.5,0.04,0.3,3.6,34.6,16.8,81.6,0.176091259,-1.397940009,-0.522878745,0.556302501,1.539076099,1.225309282,1.911690159,5120
Bakersfld,Valley,86.33333333,86,5,5,2.08,0.048,0.46,6,54.8,13.2,60.6,0.318063335,-1.318758763,-0.337242168,0.77815125,1.738780558,1.120573931,1.782472624,5120
Bakersfld,Valley,86.41666667,86,6,6,1.76,0.036,0.14,6.5,50.75,14,56.5,0.245512668,-1.443697499,-0.853871964,0.812913357,1.705436047,1.146128036,1.752048448,5120
Bakersfld,Valley,86.5,86,7,6,2.06,0.042,0.76,4.333333333,45.66666667,14,54.5,0.31386722,-1.37675071,-0.119186408,0.636822098,1.659599312,1.146128036,1.736396502,5120
Bakersfld,Valley,86.58333333,86,8,7,2.16,0.038,0.5,7.25,59.75,14.25,68,0.334453751,-1.420216403,-0.301029996,0.860338007,1.77633791,1.153814864,1.832508913,5120
Bakersfld,Valley,86.66666667,86,9,6,1.32,0.038,0.44,5.2,45.4,15.6,68.6,0.120573931,-1.420216403,-0.356547324,0.716003344,1.657055853,1.193124598,1.836324116,5120
Bakersfld,Valley,86.75,86,10,5,2,0.044,0.8,7,57.4,14.4,127.4,0.301029996,-1.356547324,-0.096910013,0.84509804,1.758911892,1.158362492,2.105169428,5120
Bakersfld,Valley,86.83333333,86,11,6,3.9,0.04,0.76,8.4,68.6,28.2,176.8,0.591064607,-1.397940009,-0.119186408,0.924279286,1.836324116,1.450249108,2.247482261,5120
Bakersfld,Valley,86.91666667,86,12,5,4.06,0.004,0.9,2.8,22.2,34.4,102.2,0.608526034,-2.397940009,-0.045757491,0.447158031,1.346352974,1.536558443,2.009450896,5120
Bakersfld,Valley,87,87,1,6,3.98,0.014,0.6,4,35,44.4,114.6,0.599883072,-1.853871964,-0.22184875,0.602059991,1.544068044,1.64738297,2.059184618,5120
Bakersfld,Valley,87.08333333,87,2,5,2.3,0.01,0.45,3,21.2,29.8,65.8,0.361727836,-2,-0.346787486,0.477121255,1.326335861,1.474216264,1.818225894,5120
Bakersfld,Valley,87.16666667,87,3,5,1.733333333,0.006666667,1.066666667,6,52,9.333333333,51.33333333,0.238882089,-2.176091259,0.028028724,0.77815125,1.716003344,0.970036777,1.710399466,5120
Bakersfld,Valley,87.25,87,4,5,2.32,0.034,0.28,9,91.5,38.5,93,0.365487985,-1.468521083,-0.552841969,0.954242509,1.961421094,1.58546073,1.968482949,5120
Bakersfld,Valley,87.33333333,87,5,5,1.66,0.026,0.28,9,72.5,15.5,60.5,0.220108088,-1.585026652,-0.552841969,0.954242509,1.860338007,1.190331698,1.781755375,5120
Bakersfld,Valley,87.41666667,87,6,5,2.22,0.038,0.28,4.5,51.5,12,38.5,0.346352974,-1.420216403,-0.552841969,0.653212514,1.711807229,1.079181246,1.58546073,5120
Bakersfld,Valley,87.5,87,7,5,1.68,0.038,0.1,4.333333333,53.66666667,7,47,0.225309282,-1.420216403,-1,0.636822098,1.729704621,0.84509804,1.672097858,5120
