yr,month,time_yr,flow_L_s,Alk_microeq_L
1980,2,80.128,8.99497582,36.301
1980,2,80.148,8.99497582,34.645
1980,3,80.167,8.99497582,39.526
1980,3,80.186,8.99497582,37.97
1980,3,80.205,8.99497582,40.262
1980,3,80.224,8.99497582,34.158
1980,3,80.243,11.994993,49.177
1980,4,80.262,19.9986187,22.568
1980,4,80.281,47.9733449,21.858
1980,4,80.301,69.0239804,18.925
1980,4,80.32,580.764418,5.523
1980,5,80.339,2328.09126,1.107
1980,5,80.358,523.600437,27.399
1980,5,80.377,5164.16369,19.026
1980,5,80.396,5482.76965,14.318
1980,6,80.415,6165.95002,3.438
1980,6,80.454,4285.4852,4.82
1980,6,80.473,2500.34536,12.983
1980,6,80.492,4570.8819,17.961
1980,7,80.511,1129.79591,17.035
1980,7,80.53,580.764418,21.367
1980,7,80.549,860.993752,16.856
1980,7,80.568,419.758984,21.222
1980,8,80.587,419.758984,28.455
1980,8,80.607,580.764418,24.502
1980,8,80.628,200.909281,24.577
1980,8,80.648,1584.89319,17.41
1980,8,80.664,860.993752,32.114
1980,9,80.683,860.993752,38.281
1980,9,80.702,2884.0315,34.447
1980,9,80.721,944.060876,19.995
1980,9,80.74,1129.79591,14.029
1980,10,80.76,2157.74441,7.901
1980,10,80.792,374.973002,29.222
1980,10,80.798,334.19504,21.833
1980,10,80.822,1584.89319,21.621
1980,11,80.836,261.216135,26.096
1980,11,80.855,152.054753,19.351
1980,11,80.874,112.979591,19.024
1980,11,80.893,82.0351544,27.928
1980,11,80.913,82.0351544,23.594
1980,12,80.932,69.0239804,28.21
1980,12,80.951,57.9428696,33.059
1980,12,80.97,57.9428696,40.254
1980,12,80.989,57.9428696,43.411
1981,1,81.008,47.9733449,21.474
1981,1,81.027,176.197605,6.818
1981,1,81.047,112.979591,29.153
1981,1,81.066,95.9400632,21.409
1981,2,81.085,1035.14217,19.754
1981,2,81.104,374.973002,22.062
1981,2,81.123,261.216135,30.744
1981,2,81.142,200.909281,32.564
1981,3,81.162,152.054753,37.726
1981,3,81.181,132.129563,42.746
1981,3,81.2,112.979591,50.328
1981,3,81.219,112.979591,44.86
1981,3,81.238,112.979591,44.813
1981,4,81.26,295.801247,38.144
1981,4,81.277,1233.10483,8.537
1981,4,81.296,469.894109,22.131
1981,4,81.315,469.894109,22.45
1981,5,81.348,944.060876,40.443
1981,5,81.353,2884.0315,5.07
1981,5,81.373,8128.30516,4.474
1981,5,81.392,10046.1579,11.338
1981,5,81.411,4285.4852,3.114
1981,6,81.43,5482.76965,10.4
1981,6,81.449,2328.09126,13.711
1981,6,81.468,2004.47203,15.18
1981,6,81.488,2328.09126,15.721
1981,7,81.507,3090.29543,13.722
1981,7,81.526,3775.72191,14.101
1981,7,81.545,1853.53162,17.095
1981,7,81.564,2328.09126,10.685
1981,8,81.584,2157.74441,18.492
1981,8,81.603,1129.79591,18.522
1981,8,81.622,2884.0315,1.256
1981,8,81.641,860.993752,17.86
1981,8,81.66,1129.79591,16.889
1981,9,81.679,860.993752,20.119
1981,9,81.699,295.801247,31.963
1981,9,81.718,230.144182,31.016
1981,9,81.737,176.197605,27.006
1981,10,81.756,152.054753,29.991
1981,10,81.775,261.216135,29.024
1981,10,81.795,200.909281,33.29
1981,10,81.814,152.054753,35.644
1981,11,81.833,152.054753,31.174
1981,11,81.852,295.801247,29.944
1981,11,81.871,200.909281,28.773
1981,11,81.89,152.054753,26.452
1981,11,81.91,112.979591,32.177
1981,12,81.929,580.764418,18.365
1981,12,81.948,230.144182,22.681
1981,12,81.967,152.054753,28.054
1981,12,81.986,112.979591,36.836
1982,1,82.005,112.979591,29.158
1982,1,82.025,112.979591,23.485
1982,1,82.044,112.979591,36.556
1982,1,82.063,112.979591,39.577
1982,1,82.082,112.979591,51.09
1982,2,82.101,95.9400632,52.338
1982,2,82.121,95.9400632,38.78
1982,2,82.14,95.9400632,46.501
1982,2,82.159,95.9400632,35.2
1982,3,82.178,82.0351544,38.311
1982,3,82.197,82.0351544,45.515
1982,3,82.216,82.0351544,51.25
1982,3,82.236,200.909281,20.826
1982,4,82.255,176.197605,30.701
1982,4,82.274,230.144182,23.358
1982,4,82.293,374.973002,26.25
1982,4,82.312,523.600437,21.872
1982,5,82.337,419.758984,30.022
1982,5,82.351,1129.79591,30.66
1982,5,82.37,2004.47203,12.082
1982,5,82.389,4852.885,17.736
1982,5,82.408,8590.13522,16.864
1982,6,82.427,5482.76965,20.162
1982,6,82.447,1458.81426,13.992
1982,6,82.466,2685.34445,16.198
1982,6,82.485,5482.76965,10.447
1982,7,82.504,9527.96164,20.17
1982,7,82.523,4027.17034,22.977
1982,7,82.542,2328.09126,12.533
1982,7,82.562,1342.76496,16.768
1982,8,82.6,523.600437,38.616
1982,8,82.619,523.600437,38.313
1982,8,82.641,711.213514,39.76
1982,8,82.655,261.216135,32.944
1982,9,82.677,1129.79591,33.581
1982,9,82.696,1584.89319,19.084
1982,9,82.715,3090.29543,21.144
1982,9,82.734,469.894109,27.83
1982,10,82.753,419.758984,35.6
1982,10,82.773,200.909281,32.144
1982,10,82.792,132.129563,32.809
1982,10,82.811,112.979591,40.299
1982,10,82.83,132.129563,38.082
1982,11,82.849,200.909281,33.936
1982,11,82.868,419.758984,39.945
1982,11,82.888,261.216135,27.676
1982,11,82.907,200.909281,29.65
1982,12,82.934,152.054753,40.92
1982,12,82.945,132.129563,39.038
1982,12,82.964,132.129563,42.558
1982,12,82.984,152.054753,38.959
1983,1,83.003,152.054753,33.366
1983,1,83.025,132.129563,36.993
1983,1,83.041,132.129563,31.021
1983,1,83.079,132.129563,23.19
1983,2,83.099,112.979591,38.882
1983,2,83.137,112.979591,42.471
1983,2,83.156,112.979591,40.065
1983,3,83.175,95.9400632,14.511
1983,3,83.195,95.9400632,28.867
1983,3,83.214,132.129563,24.914
1983,3,83.233,132.129563,45.185
1983,4,83.252,132.129563,52.719
1983,4,83.271,112.979591,43.059
1983,4,83.29,469.894109,22.962
1983,4,83.31,1129.79591,18.61
1983,5,83.329,1584.89319,14.148
1983,5,83.348,3090.29543,19.674
1983,5,83.367,4570.8819,13.543
1983,5,83.386,5807.64418,12.245
1983,5,83.405,5482.76965,17.833
1983,6,83.425,2328.09126,15.053
1983,6,83.463,5807.64418,20.427
1983,6,83.482,4285.4852,19.629
1983,7,83.501,4027.17034,12.805
1983,7,83.521,3775.72191,12.294
1983,7,83.54,2685.34445,21.047
1983,7,83.559,4027.17034,16.065
1983,7,83.578,2328.09126,13.578
1983,8,83.605,944.060876,25.951
1983,8,83.616,2685.34445,24.358
1983,8,83.636,860.993752,28.566
1983,8,83.655,860.993752,16.288
1983,9,83.674,523.600437,24.498
1983,9,83.693,860.993752,29.195
1983,9,83.715,334.19504,33.515
1983,9,83.732,2004.47203,16.368
1983,10,83.751,1233.10483,11.369
1983,10,83.773,860.993752,21.267
1983,10,83.789,2004.47203,21.046
1983,10,83.808,3090.29543,15.634
1983,10,83.827,2328.09126,14.277
1983,11,83.847,711.213514,27.194
1983,11,83.888,580.764418,23.137
1983,11,83.904,374.973002,29.446
1983,12,83.923,295.801247,19.886
1983,12,83.942,261.216135,25.764
1983,12,83.964,230.144182,26.792
1983,12,83.981,230.144182,31.271
1984,1,84,200.909281,26.714
1984,1,84.019,176.197605,28.345
1984,1,84.038,132.129563,37.913
1984,1,84.057,112.979591,41.871
1984,1,84.076,95.9400632,39.244
1984,2,84.096,95.9400632,37.234
1984,2,84.115,152.054753,18.409
1984,2,84.134,95.9400632,42.951
1984,2,84.153,112.979591,46.7
1984,3,84.172,95.9400632,45.338
1984,3,84.191,95.9400632,46.002
1984,3,84.21,95.9400632,39.142
1984,3,84.23,112.979591,55.465
1984,4,84.249,112.979591,47.553
1984,4,84.268,132.129563,21.301
1984,4,84.287,132.129563,27.448
1984,4,84.306,374.973002,31.908
1984,4,84.325,2685.34445,15.063
1984,5,84.344,2157.74441,27.027
1984,5,84.363,860.993752,16.846
1984,5,84.383,5807.64418,22.104
1984,5,84.402,6902.39804,15.563
1984,6,84.421,8128.30516,16.008
1984,6,84.44,1713.95731,15.093
1984,6,84.459,3090.29543,23.186
1984,6,84.481,2004.47203,20.755
1984,7,84.497,2685.34445,25.573
1984,7,84.516,2500.34536,24.898
1984,7,84.536,3531.8317,20.893
1984,7,84.555,7294.5751,18.689
1984,7,84.576,2004.47203,24.264
1984,8,84.593,944.060876,32.772
1984,8,84.612,580.764418,33.868
1984,8,84.631,860.993752,30.803
1984,8,84.65,419.758984,29.682
1984,9,84.669,2884.0315,26.554
1984,9,84.689,1129.79591,30.414
1984,9,84.708,783.429643,29.565
1984,10,84.751,152.054753,46.343
1984,10,84.765,230.144182,33.66
1984,10,84.784,4285.4852,27.559
1984,10,84.803,2685.34445,21.512
1984,10,84.822,469.894109,25.789
1984,11,84.842,860.993752,21.833
1984,11,84.861,580.764418,34.519
1984,11,84.88,200.909281,34.439
1984,11,84.899,112.979591,38.288
1984,12,84.937,176.197605,36.732
1984,12,84.956,152.054753,41.671
1986,1,86.011,132.129563,35.11
1986,1,86.03,95.9400632,53.94
1986,1,86.049,132.129563,50.589
1986,1,86.068,132.129563,46.649
1986,2,86.088,112.979591,49.73
1986,2,86.107,95.9400632,50.561
1986,2,86.126,82.0351544,57.356
1986,2,86.145,82.0351544,51.681
1986,3,86.164,82.0351544,47.421
1986,3,86.184,69.0239804,69.058
1986,3,86.203,57.9428696,51.602
1986,3,86.222,57.9428696,54.091
1986,4,86.258,82.0351544,13.734
1986,5,86.356,6165.95002,13.751
1986,5,86.375,2328.09126,9.979
1986,5,86.395,2884.0315,11.904
1986,6,86.414,4570.8819,6.788
1986,6,86.433,16982.4365,12.757
1986,6,86.452,2884.0315,10.124
1986,6,86.471,1129.79591,18.569
1986,7,86.51,2500.34536,15.106
1986,7,86.529,2328.09126,18.336
1986,7,86.548,523.600437,23.765
1986,7,86.567,711.213514,16.757
1986,8,86.586,295.801247,25.093
1986,8,86.605,6165.95002,6.657
1986,8,86.625,374.973002,19.758
1986,8,86.644,860.993752,21.342
1986,8,86.663,3090.29543,13.005
1986,9,86.682,860.993752,28.577
1986,9,86.701,1035.14217,29.146
1986,9,86.721,4570.8819,13.329
1986,10,86.759,1342.76496,13.172
1986,10,86.778,1233.10483,14.31
1986,10,86.797,944.060876,21.151
1986,10,86.816,334.19504,27.453
1986,11,86.836,783.429643,15.468
1986,11,86.855,711.213514,12.128
1986,11,86.874,1129.79591,12.26
1986,11,86.893,261.216135,21.261
1986,11,86.912,523.600437,30.969
1986,12,86.932,523.600437,31.6
1986,12,86.97,176.197605,43.32
1986,12,86.989,132.129563,40.56
1987,1,87.008,132.129563,47.039
1987,1,87.027,112.979591,40.205
1987,1,87.047,95.9400632,48.797
1987,1,87.066,95.9400632,40.374
1987,2,87.085,132.129563,38.521
1987,2,87.104,132.129563,42.636
1987,2,87.123,132.129563,45.525
1987,2,87.142,112.979591,35.904
1987,3,87.162,82.0351544,45.606
1987,3,87.181,95.9400632,44.039
1987,3,87.2,82.0351544,50.844
1987,3,87.219,82.0351544,64.257
1987,4,87.258,112.979591,56.142
1987,4,87.277,95.9400632,48.123
1987,4,87.296,132.129563,15.038
1987,4,87.315,1853.53162,8.993
1987,5,87.334,2500.34536,6.466
1987,5,87.353,1233.10483,17.05
1987,5,87.373,2004.47203,2.19
1987,5,87.392,3775.72191,10.379
1987,5,87.411,4027.17034,6.284
1987,6,87.43,5164.16369,11.948
1987,6,87.449,5164.16369,7.022
1987,6,87.468,3303.69541,5.694
1987,6,87.488,4285.4852,15.475
1987,7,87.507,4570.8819,14.172
1987,7,87.526,3090.29543,11.14
1987,7,87.545,5164.16369,15.432
1987,7,87.564,4852.885,28.202
1987,8,87.584,2500.34536,18.729
1987,8,87.603,1584.89319,15.745
1987,8,87.622,1584.89319,21.175
1987,8,87.641,1584.89319,25.587
1987,8,87.66,2500.34536,15.612
1987,9,87.679,580.764418,27.392
1987,9,87.699,1853.53162,28.72
1987,9,87.718,3303.69541,25.608
1987,9,87.737,2157.74441,26.265
1987,10,87.756,469.894109,25.734
1987,10,87.775,523.600437,25.684
1987,10,87.795,261.216135,33.102
1987,10,87.814,176.197605,39.481
1987,11,87.833,176.197605,34.55
1987,11,87.852,2157.74441,22.976
1987,11,87.871,261.216135,31.673
1987,11,87.89,200.909281,30.048
1987,11,87.91,642.687717,38.44
1987,12,87.929,523.600437,18.316
1987,12,87.948,711.213514,17.234
1987,12,87.967,944.060876,28.173
1987,12,87.986,419.758984,21.09
1988,1,88.005,295.801247,29.14
1988,1,88.025,200.909281,31.587
1988,1,88.044,176.197605,35.809
1988,1,88.063,152.054753,37.895
1988,1,88.082,152.054753,42.756
1988,2,88.101,112.979591,37.87
1988,2,88.12,112.979591,40.942
1988,2,88.139,112.979591,41.883
1988,2,88.158,152.054753,38.399
1988,3,88.178,132.129563,32.614
1988,3,88.235,95.9400632,41.373
1988,4,88.254,469.894109,43.936
1988,4,88.273,374.973002,26.458
1988,4,88.292,295.801247,28.138
1988,4,88.314,295.801247,37.714
1988,5,88.331,334.19504,35.077
1988,5,88.35,3303.69541,27.793
1988,5,88.369,4852.885,13.491
1988,5,88.388,1584.89319,15.803
1988,5,88.407,14125.3754,11.387
1988,6,88.426,4852.885,15.031
1988,6,88.445,4852.885,15.839
1988,6,88.464,4570.8819,11.704
1988,6,88.484,5482.76965,14.831
1988,7,88.503,6902.39804,17.64
1988,7,88.522,2884.0315,18.722
1988,7,88.541,3775.72191,22.662
1988,7,88.56,1233.10483,19.734
1988,7,88.579,1584.89319,26.138
1988,8,88.598,783.429643,28.212
1988,8,88.617,2328.09126,22.464
1988,8,88.637,6902.39804,21.024
1988,9,88.675,4027.17034,29.166
1988,9,88.694,1129.79591,22.626
1988,9,88.713,7709.03469,21.227
1988,9,88.732,7294.5751,17.661
1988,10,88.751,2328.09126,21.492
1988,10,88.77,1342.76496,17.178
1988,10,88.79,860.993752,27.977
1988,10,88.809,642.687717,32.942
1988,10,88.828,580.764418,31.931
1988,11,88.847,419.758984,36.371
1988,11,88.872,2884.0315,22.128
1988,11,88.885,1035.14217,29.243
1988,11,88.904,711.213514,25.968
1988,12,88.924,374.973002,29.751
1988,12,88.943,334.19504,32.125
1988,12,88.962,230.144182,34.266
1988,12,88.981,230.144182,32.363
1989,1,89,1342.76496,4.767
1989,1,89.019,580.764418,11.371
1989,1,89.038,295.801247,25.064
1989,1,89.058,860.993752,10.57
1989,1,89.077,783.429643,18.609
1989,2,89.096,523.600437,13.27
1989,2,89.134,200.909281,19.233
1989,2,89.153,176.197605,22.117
1989,3,89.173,152.054753,32.645
1989,3,89.192,295.801247,26.487
1989,3,89.214,176.197605,21.511
1989,3,89.23,176.197605,22.501
1989,4,89.249,176.197605,19.875
1989,4,89.268,152.054753,8.676
1989,4,89.288,4570.8819,-4.479
1989,4,89.307,944.060876,-5.63
1989,4,89.326,469.894109,6.678
1989,5,89.345,1713.95731,9.464
1989,5,89.364,1458.81426,12.93
1989,5,89.386,4285.4852,4.005
1989,5,89.403,2884.0315,8.881
1989,6,89.422,2500.34536,0.445
1989,6,89.441,4285.4852,3.619
1989,6,89.46,7294.5751,4.859
1989,6,89.479,4027.17034,6.728
1989,7,89.499,2884.0315,7.895
1989,7,89.518,3090.29543,11.12
1989,7,89.537,6516.28394,13.012
1989,7,89.556,3775.72191,8.653
1989,7,89.575,3531.8317,15.897
1989,8,89.595,2685.34445,11.963
1989,8,89.614,2884.0315,14.55
1989,9,89.671,1129.79591,21.933
1989,9,89.69,711.213514,23.279
1989,9,89.71,642.687717,23.667
1989,9,89.729,860.993752,25.327
1989,10,89.748,2157.74441,19.925
1989,10,89.767,1129.79591,16.798
1989,10,89.786,711.213514,22.081
1989,10,89.805,2500.34536,15.281
1989,10,89.822,523.600437,17.815
1989,11,89.844,295.801247,24.518
1989,11,89.863,230.144182,25.159
1989,11,89.882,261.216135,19.206
1989,11,89.901,523.600437,24.485
1989,12,89.921,523.600437,2.489
1989,12,89.94,261.216135,5.849
1989,12,89.959,230.144182,20.487
1989,12,89.978,200.909281,27.279
1989,12,89.997,176.197605,36.119
1990,1,90.016,152.054753,34.577
1990,1,90.033,176.197605,23.91
1990,1,90.055,152.054753,15.849
1990,1,90.074,152.054753,26.796
1990,2,90.093,132.129563,29.947
1990,2,90.112,295.801247,11.086
1990,2,90.132,200.909281,27.035
1990,2,90.153,230.144182,24.699
1990,3,90.17,176.197605,19.407
1990,3,90.189,132.129563,20.735
1990,3,90.208,860.993752,10.167
1990,3,90.227,523.600437,0.761
1990,4,90.247,2500.34536,5.73
1990,4,90.266,230.144182,9.494
1990,4,90.285,1342.76496,1.813
1990,4,90.304,944.060876,18.897
1990,4,90.323,2685.34445,2.752
1990,5,90.342,6165.95002,1.536
1990,5,90.359,4570.8819,-1.457
1990,5,90.381,1035.14217,8.447
1990,5,90.4,944.060876,9.054
1990,6,90.419,5807.64418,5.205
1990,6,90.438,5164.16369,4.716
1990,6,90.458,3775.72191,5.736
1990,6,90.482,2884.0315,8.89
1990,7,90.515,2884.0315,13.784
1990,7,90.534,2500.34536,9.037
1990,7,90.553,4285.4852,12.908
1990,7,90.573,1853.53162,16.922
1990,8,90.649,3531.8317,18.451
1990,9,90.668,860.993752,26.492
1990,9,90.688,523.600437,31.577
1990,9,90.707,2685.34445,19.738
1990,9,90.726,580.764418,26.952
1990,10,90.748,523.600437,29.64
1990,10,90.764,523.600437,23.92
1990,10,90.784,5164.16369,13.542
1990,10,90.803,419.758984,24.652
1990,10,90.822,200.909281,28.162
1990,11,90.841,152.054753,28.967
1990,11,90.86,419.758984,24.698
1990,11,90.879,419.758984,34.31
1990,11,90.899,230.144182,34.82
1990,12,90.937,152.054753,31.292
1990,12,90.959,711.213514,28.354
1990,12,90.975,1035.14217,30.25
1990,12,90.995,200.909281,34.426
1991,1,91.014,176.197605,32.753
1991,1,91.033,132.129563,41.206
1991,1,91.052,132.129563,38.831
1991,1,91.071,176.197605,36.713
1991,2,91.09,132.129563,41.341
1991,2,91.115,95.9400632,41.672
1991,2,91.129,82.0351544,42.886
1991,2,91.148,69.0239804,42.517
1991,3,91.167,57.9428696,43.786
1991,3,91.186,374.973002,25.916
1991,3,91.205,132.129563,39.034
1991,3,91.225,152.054753,39.388
1991,3,91.244,374.973002,19.505
1991,4,91.263,374.973002,33.455
1991,4,91.282,1584.89319,21.535
1991,4,91.301,374.973002,23.006
1991,4,91.321,523.600437,15.922
1991,5,91.34,374.973002,21.795
1991,5,91.359,1584.89319,17.647
1991,5,91.378,1233.10483,24.123
1991,5,91.397,3531.8317,28.078
1991,6,91.419,1233.10483,23.485
1991,6,91.436,2328.09126,20.69
1991,6,91.455,6516.28394,17.79
1991,6,91.474,3775.72191,7.253
1991,6,91.493,5807.64418,19.79
1991,7,91.512,4285.4852,10.039
1991,7,91.551,4852.885,20.27
1991,7,91.57,860.993752,32.188
1991,8,91.589,944.060876,29.533
1991,8,91.608,3303.69541,28.189
1991,8,91.63,1713.95731,27.938
1991,8,91.647,711.213514,25.933
1991,9,91.666,230.144182,30.567
1991,9,91.685,7294.5751,3.751
1991,9,91.704,4852.885,5.927
1991,9,91.726,1458.81426,24.575
1991,9,91.742,642.687717,18.525
1991,10,91.762,523.600437,20.521
1991,10,91.781,419.758984,25.517
1991,10,91.819,642.687717,18.495
1991,11,91.838,230.144182,16.179
1991,11,91.858,295.801247,42.606
1991,11,91.877,152.054753,36.571
1991,11,91.896,3775.72191,21.637
1991,12,91.915,419.758984,25.446
1991,12,91.934,261.216135,21.43
1991,12,91.956,261.216135,30.38
1991,12,91.973,176.197605,18.549
1991,12,91.992,261.216135,11.445
