Sample_ID,Island,Latitude_degrees_N,Longitude_degrees_E,Rock_name,Al2O3_percent,Cr_ppm,Rb_ppm
s_207-6 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.51,0.15,86.14
s_02AKA-3 [14053],HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE,20.1,-155.78,BASALT [14053],16.51,0.17,31.9
s_02AHU-8 [14053],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE,19.78,-155.83,TRACHYTE [14053],17.28,0.23,115.5
s_02AKA-2 [14053],HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE,20.12,-155.79,BASALT [14053],16.67,0.24,33.3
s_02AKA-1 [14053],HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE,20.04,-155.74,BASALT [14053],15.64,0.3,24.1
s_NER-37A [16914],CANARY ISLANDS / TENERIFE,28.4,-16.5,BASANITE [16914],17.74,0.31,62.03
s_LO-25 [16914],CANARY ISLANDS / TENERIFE,28.3,-16.6,TRACHYANDESITE [16914],19.15,0.38,29.97
s_02AKA-4 [14053],HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE,20.07,-155.76,ANDESITE [14053],17.84,0.44,75.9
s_205-2 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,BASANITE [15625],17.13,0.46,36.31
s_M14ACIDWASHED [1199],AUSTRAL-COOK ISLANDS / MANGAIA,-21.93,-157.93,"BASALT, ALKALINE [1199]",17.74,0.5,38.7
s_E 206A [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,NOT GIVEN [15625],17.65,0.5,58.16
s_207-4 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.58,0.5,90.05
s_UH53 [16348] / s_UH53-TE35 [24718],MARQUESAS / UA HUKA / HANE / POST-SHIELD STAGE,-8.9,-139.56,PHONOLITE [16348],18.25,0.52,255.6
s_206-2 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.53,0.53,101.62
s_AZT-03-18 [12941] / s_AZT 03-18 [21396],AZORES / TERCEIRA,38.73,-27.28,"TRACHYANDESITE, BASALTIC [12941] / NOT GIVEN [21396]",15,0.59,39.2
s_206 CONT [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.49,0.61,64.7
s_G2-D11 [16914],CANARY ISLANDS / TENERIFE,28.32,-16.38,BASANITE [16914],16.86,0.63,50.78
s_NER-61 [16914],CANARY ISLANDS / TENERIFE,28.4,-16.5,BASANITE [16914],16.85,0.64,52.59
s_E 206D [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,NOT GIVEN [15625],17.74,0.66,53.57
s_E 206B [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,NOT GIVEN [15625],17.68,0.7,47.98
s_207-5 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.5,0.73,97.71
s_02AMK-11 [14053],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE,19.94,-155.84,BASALT [14053],16.86,0.75,32.6
s_206-3 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.61,0.75,116.55
s_205-1 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,BASANITE [15625],17.16,0.78,39.5
s_LC-7 [16914],CANARY ISLANDS / TENERIFE,28.3,-16.6,TRACHYTE [16914],20.44,0.79,81.08
s_E 204F [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,NOT GIVEN [15625],17.65,0.86,25.93
RMT11,Rimatara,-22.67,-152.75,,15.04,0.86,23.41
s_02AMK-8 [14053],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE,19.91,-155.34,BASALT [14053],17.08,0.87,33.3
RRT45,Rurutu,-22.67,-152.75,,14.52,0.87,35.77
s_AI-177 [829],ASCENSION / ASCENSION,-7.93,-14.37,RHYOLITE [829],12.76,0.9,161
s_NER-70A [16914],CANARY ISLANDS / TENERIFE,28.4,-16.5,BASANITE [16914],16.71,0.91,44.2
s_AZ05-R [19003],AZORES / SAO JORGE,38.55,-27.86,NOT GIVEN [19003],15.64,1,30
s_VE111 [1815],ICELAND / VESTMANNAEYJAR ISLANDS - HEIMAEY / ELDFELL,63.44,-20.28,"HAWAIITE [1815] / BASALT, ALKALINE [1033]",16.8,1,31.5
s_271 [1634],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.5,TRACHYBASALT [1634],16.94,1,37.3
s_TUT-6D [452],SAMOAN ISLANDS / TUTUILA / PAGO / SHIELD STAGE,-14.3,-170.7,HAWAIITE [452] / BASALT [451],15.5,1,40
s_106 [481],ST. HELENA CHAIN / ST. HELENA / MAIN SHIELD VOLCANO (SOUTHWESTERN VOLCANO) / SHIELD STAGE,-15.95,-5.7,"BASALT, ALKALINE [481]",14.53,1,42
s_PIT-6 [19601],PITCAIRN-GAMBIER CHAIN / PITCAIRN / SHIELD STAGE / TEDSIDE VOLCANICS,-25.07,-130.1,"BASALT, ALKALINE [19601]",15.96,1,42.5
s_P30 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / ADAMSTOWN FORMATION / INTRA-CALDERA STAGE,-25.07,-130.1,"BASALT, ALKALINE [756]",15.69,1,44
s_RA-30 [452],AUSTRAL-COOK ISLANDS / RAPA,-27.58,-144.33,"TEPHRITE, SODALITE [452]",17.4,1,56
s_116543 [8459],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA,28.57,-17.87,"PHONOLITE, TEPHRI [8459]",20.36,1,89.8
s_106459 [8504],CAPE VERDE ISLANDS / SAO ANTAO / INTERMEDIATE VOLCANICS (SAO ANTAO),17,-25,BASANITE [8504],20.84,1,124
s_R-38A [452],AUSTRAL-COOK ISLANDS / RAROTONGA,-21.21,-159.82,PHONOLITE [452],20.1,1,162
s_HK-25 [20654],HAWAIIAN ISLANDS / MAUI / HALEAKALA / REJUVENATED STAGE / HANA SERIES,20.73,-156.17,BASANITE [20654],17.59,1.01,52.4
s_206-5 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,PHONOLITE [15625],18.58,1.03,79.9
s_SM0106 [10567],AZORES / SAO MIGUEL / SETE CIDADES / PRE-CALDERA STAGE,37.53,-25.47,TRACHYTE [10567] / TRACHYANDESITE [9385],17.64,1.07,132.83
s_205-3 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.3,-16.6,BASANITE [15625],17.14,1.18,29.89
s_VH176 [4825],ICELAND / ICELAND / SNAEFELLSJ÷KULL,64.81,-15.63,MUGEARITE [4825],14.6,1.3,34.1
RRT60,Rurutu,-22.42,-151.33,,14.84,1.36,27.21
s_SM0134 [10567],AZORES / SAO MIGUEL / SETE CIDADES / PRE-CALDERA STAGE,37.52,-25.52,"TRACHYANDESITE, BASALTIC [10567] / ANDESITE, BASALTIC [16704]",17.35,1.38,86.08
s_UP66 [8489],MARQUESAS / UA POU,-9.42,-140,BENMOREITE [8489],19.1,1.5,130
s_SM0128 [10567],AZORES / SAO MIGUEL / SETE CIDADES / PRE-CALDERA STAGE,37.5,-25.4,TRACHYBASALT [10567] / HAWAIITE [9925],15.31,1.61,54.72
s_AIT-36 [24409],AUSTRAL-COOK ISLANDS / AITUTAKI,-18.8,-159.8,"BASALT, THOLEIITIC [24409]",15.23,1.7,23.19
s_AI-96 [829],ASCENSION / ASCENSION,-7.93,-14.37,TRACHYTE [829],14.18,1.7,87
s_144 [847],KERGUELEN / KERGUELEN ARCHIPELAGO / MOUNT ROSS,-49.58,69.5,TRACHYANDESITE [847],19.45,1.8,114
s_02AMK-10 [14053],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE,19.78,-155.35,BASALT [14053],16.76,1.9,29.3
s_AI-120 [829],ASCENSION / ASCENSION,-7.93,-14.37,BASALT [829],16.25,1.9,75
s_RR16 [811],AUSTRAL-COOK ISLANDS / RURUTU / OLD TUBUAI-TREND LAVAS,-22.42,-151.33,BASALT [811],16.6,2,12.5
s_D650.0 [789],MARQUESAS / EIAO,-8,-140.67,HAWAIITE [789],16.35,2,19
s_D433.5 [789],MARQUESAS / EIAO,-8,-140.67,HAWAIITE [789],14.61,2,26
s_D512.5 [789],MARQUESAS / EIAO,-8,-140.67,HAWAIITE [789],14.89,2,27
s_D456.3 [789],MARQUESAS / EIAO,-8,-140.67,HAWAIITE [789],14.93,2,33
s_D533.0 [789],MARQUESAS / EIAO,-8,-140.67,MUGEARITE [789],15.4,2,33
s_IC-0107 [14961],ICELAND / ICELAND / HEKLA,64.02,-19.65,ANDESITE [14961],15.02,2,35.15
s_D561.3 [789],MARQUESAS / EIAO,-8,-140.67,MUGEARITE [789],15.5,2,40
s_P34 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / CHRISTIANS CAVE FORMATION,-25.07,-130.1,"BASALT, ALKALINE [756]",15.3,2,42
T342,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,ol basalt,16.26,2,61
s_AI-111 [829],ASCENSION / ASCENSION,-7.93,-14.37,TRACHYTE [829],16.81,2,63
T364,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,trachybasalt,16.29,2,69
s_D577.0 [789],MARQUESAS / EIAO,-8,-140.67,TRACHYTE [789],17.77,2,71
T359,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,trachybasalt,16.51,2,73
s_TLP 69-1 [19949],CANARY ISLANDS / LA PALMA,28.5,-18,TEPHRITE [19949],17.05,2,75
s_I469 [18177],ICELAND / ICELAND / ÷RAEFAJ÷KULL,63.89,-16.62,RHYOLITE [18177],13.28,2,78.2
s_MPC99-47 [11073],KERGUELEN / KERGUELEN ARCHIPELAGO / VAL GABBRO PLUTONIC SUITE,-49.73,70.07,NOT GIVEN [11073],18.15,2,79.7
s_116548 [8459],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA,28.53,-17.82,"PHONOLITE, TEPHRI [8459]",20.07,2,101.6
