Year,Anomaly_degC
1968.75,-0.01
1968.833333,0.04
1968.916667,0.01
1969,-0.05
1969.083333,-0.13
1969.166667,-0.11
1969.25,0.12
1969.333333,0.19
1969.416667,0.17
1969.5,0.07
1969.583333,0.09
1969.666667,0.09
1969.75,0.08
1969.833333,0.07
1969.916667,0.19
1970,0.24
1970.083333,0.12
1970.166667,0.23
1970.25,0.03
1970.333333,0.13
1970.416667,0.04
1970.5,0.03
1970.583333,-0.02
1970.666667,-0.02
1970.75,0.01
1970.833333,-0.04
1970.916667,0.02
1971,-0.1
1971.083333,-0.01
1971.166667,-0.22
1971.25,-0.14
1971.333333,-0.13
1971.416667,-0.09
1971.5,-0.13
1971.583333,-0.07
1971.666667,-0.07
1971.75,-0.04
1971.833333,-0.08
1971.916667,0.04
1972,-0.02
1972.083333,-0.24
1972.166667,-0.16
1972.25,0
1972.333333,0.04
1972.416667,0.01
1972.5,0.08
1972.583333,0.06
1972.666667,0.09
1972.75,0.02
1972.833333,0.09
1972.916667,0.08
1973,0.25
1973.083333,0.26
1973.166667,0.37
1973.25,0.33
1973.333333,0.25
1973.416667,0.21
1973.5,0.2
1973.583333,0.12
1973.666667,0.08
1973.75,0.05
1973.833333,0.04
1973.916667,0.02
1974,0.03
1974.083333,-0.2
1974.166667,-0.26
1974.25,-0.05
1974.333333,-0.04
1974.416667,-0.02
1974.5,-0.04
1974.583333,0.02
1974.666667,0.01
1974.75,-0.04
1974.833333,-0.08
1974.916667,-0.07
1975,-0.1
1975.083333,0.12
1975.166667,0.03
1975.25,0.11
1975.333333,0.08
1975.416667,0.07
1975.5,0.03
1975.583333,0
1975.666667,-0.07
1975.75,0.02
1975.833333,-0.12
1975.916667,-0.15
1976,-0.09
1976.083333,-0.02
1976.166667,-0.12
1976.25,-0.24
1976.333333,-0.02
1976.416667,-0.12
1976.5,-0.08
1976.583333,-0.09
1976.666667,-0.09
1976.75,-0.05
1976.833333,-0.18
1976.916667,-0.04
1977,0.09
1977.083333,0.06
1977.166667,0.23
1977.25,0.31
1977.333333,0.28
1977.416667,0.24
1977.5,0.25
1977.583333,0.17
1977.666667,0.14
1977.75,0.18
1977.833333,0.12
1977.916667,0.26
1978,0.11
1978.083333,0.16
1978.166667,0.13
1978.25,0.22
1978.333333,0.13
1978.416667,0.06
1978.5,0.05
1978.583333,0.07
1978.666667,0
1978.75,0.07
1978.833333,0.06
1978.916667,0.22
1979,0.15
1979.083333,0.16
1979.166667,0.09
1979.25,0.24
1979.333333,0.11
1979.416667,0.16
1979.5,0.22
1979.583333,0.17
1979.666667,0.22
1979.75,0.25
1979.833333,0.29
1979.916667,0.29
1980,0.5
1980.083333,0.31
1980.166667,0.35
1980.25,0.24
1980.333333,0.31
1980.416667,0.32
1980.5,0.25
1980.583333,0.22
1980.666667,0.19
1980.75,0.2
1980.833333,0.18
1980.916667,0.33
1981,0.27
1981.083333,0.47
1981.166667,0.36
1981.25,0.41
1981.333333,0.35
1981.416667,0.26
1981.5,0.28
1981.583333,0.23
1981.666667,0.24
1981.75,0.19
1981.833333,0.17
1981.916667,0.21
1982,0.42
1982.083333,0.14
1982.166667,0.16
1982.25,0.08
1982.333333,0.2
1982.416667,0.19
1982.5,0.12
1982.583333,0.14
1982.666667,0.14
1982.75,0.23
1982.833333,0.18
1982.916667,0.15
1983,0.44
1983.083333,0.51
1983.166667,0.48
1983.25,0.43
1983.333333,0.29
1983.416667,0.29
1983.5,0.26
1983.583333,0.27
